Time (s),X,Y,Radius
2.0166666666666666,1741,895,39
2.0166666666666666,121,899,32
2.0166666666666666,1039,913,27
2.0166666666666666,271,887,27
2.0166666666666666,987,34,12
2.0166666666666666,1027,839,23
2.0166666666666666,1456,889,21
2.033333333333333,959,290,47
2.033333333333333,913,869,49
2.033333333333333,211,863,49
2.033333333333333,1149,883,48
2.033333333333333,1219,857,47
2.033333333333333,1519,883,49
2.033333333333333,973,883,49
2.033333333333333,805,889,49
2.033333333333333,415,883,49
2.033333333333333,637,863,49
2.033333333333333,469,883,48
2.033333333333333,1357,869,48
2.033333333333333,962,531,16
2.033333333333333,55,883,48
2.033333333333333,1795,893,37
2.033333333333333,932,35,13
2.033333333333333,1741,895,39
2.033333333333333,121,899,32
2.033333333333333,1099,853,33
2.033333333333333,1039,913,27
2.033333333333333,271,887,27
2.033333333333333,987,34,12
2.033333333333333,1027,839,23
2.033333333333333,1456,889,21
2.05,959,290,47
2.05,913,869,49
2.05,211,863,49
2.05,1149,883,48
2.05,1219,857,47
2.05,1519,883,49
2.05,973,883,49
2.05,805,889,49
2.05,415,883,49
2.05,637,863,49
2.05,469,883,48
2.05,1357,869,48
2.05,962,531,16
2.05,55,883,48
2.05,1795,893,37
2.05,932,35,13
2.05,1741,895,39
2.05,121,899,32
2.05,1099,853,33
2.05,1039,913,27
2.05,271,887,27
2.05,987,34,12
2.05,1027,839,23
2.05,1456,889,21
2.066666666666667,961,291,47
2.066666666666667,913,869,49
2.066666666666667,211,863,49
2.066666666666667,1105,883,48
2.066666666666667,1219,857,47
2.066666666666667,973,883,49
2.066666666666667,1519,883,49
2.066666666666667,805,889,49
2.066666666666667,415,883,49
2.066666666666667,637,863,49
2.066666666666667,469,883,48
2.066666666666667,1357,869,48
2.066666666666667,962,531,16
2.066666666666667,55,883,48
2.066666666666667,1795,893,37
2.066666666666667,932,35,13
2.066666666666667,1741,895,39
2.066666666666667,121,899,32
2.066666666666667,1039,913,27
2.066666666666667,271,887,27
2.066666666666667,987,34,12
2.066666666666667,1027,839,23
2.066666666666667,1456,889,21
2.0833333333333335,959,290,47
2.0833333333333335,913,869,49
2.0833333333333335,211,863,49
2.0833333333333335,1149,883,48
2.0833333333333335,1219,857,47
2.0833333333333335,1519,883,49
2.0833333333333335,973,883,49
2.0833333333333335,805,889,49
2.0833333333333335,415,883,49
2.0833333333333335,637,863,49
2.0833333333333335,469,883,48
2.0833333333333335,1357,869,48
2.0833333333333335,962,531,16
2.0833333333333335,55,883,48
2.0833333333333335,1795,893,37
2.0833333333333335,932,35,13
2.0833333333333335,1741,895,39
2.0833333333333335,121,899,32
2.0833333333333335,1099,853,33
2.0833333333333335,1039,913,27
2.0833333333333335,271,887,27
2.0833333333333335,987,34,12
2.0833333333333335,1027,839,23
2.0833333333333335,1456,889,21
2.1,959,290,47
2.1,913,869,49
2.1,211,863,49
2.1,1149,883,48
2.1,1219,857,47
2.1,1519,883,49
2.1,973,883,49
2.1,805,889,49
2.1,415,883,49
2.1,637,863,49
2.1,469,883,48
2.1,1357,869,48
2.1,962,531,16
2.1,55,883,48
2.1,1795,893,37
2.1,932,35,13
2.1,1741,895,39
2.1,121,899,32
2.1,1099,853,33
2.1,1039,913,27
2.1,271,887,27
2.1,987,34,12
2.1,1027,839,23
2.1,1456,889,21
2.1166666666666667,961,291,47
2.1166666666666667,913,869,49
2.1166666666666667,211,863,49
2.1166666666666667,1105,883,48
2.1166666666666667,1219,857,47
2.1166666666666667,973,883,49
2.1166666666666667,1519,883,49
2.1166666666666667,805,889,49
2.1166666666666667,415,883,49
2.1166666666666667,637,863,49
2.1166666666666667,469,883,48
2.1166666666666667,1357,869,48
2.1166666666666667,962,531,16
2.1166666666666667,55,883,48
2.1166666666666667,1795,893,37
2.1166666666666667,932,35,13
2.1166666666666667,1741,895,39
2.1166666666666667,121,899,32
2.1166666666666667,1039,913,27
2.1166666666666667,271,887,27
2.1166666666666667,987,34,12
2.1166666666666667,1027,839,23
2.1166666666666667,1456,889,21
2.1333333333333333,959,290,47
2.1333333333333333,913,869,49
2.1333333333333333,211,863,49
2.1333333333333333,1149,883,48
2.1333333333333333,1219,857,47
2.1333333333333333,1519,883,49
2.1333333333333333,973,883,49
2.1333333333333333,805,889,49
2.1333333333333333,415,883,49
